scenario,method,snr_db,omega_rad_per_frame,median_abs_error_rad,rmse_rad,p90_abs_error_rad,sign_error_rate,quality_mean,quality_median
awgn,wls_origin,0.0,1.35,0.009702742099761963,0.01504442747682333,0.02397085353732109,0.0,0.9978761076927185,0.9985042214393616
awgn,wls_free,0.0,1.35,0.01987248659133911,0.032096996903419495,0.05146394670009613,0.0,0.9978761076927185,0.9985042214393616
awgn,huber_wls,0.0,1.35,0.009702742099761963,0.01504442747682333,0.02397085353732109,0.0,0.9978761076927185,0.9985042214393616
awgn,leave_one_out,0.0,1.35,0.010743558406829834,0.01704879105091095,0.027519594877958298,0.0,0.9978761076927185,0.9985042214393616
awgn,circular_grid,0.0,1.35,0.011356830596923828,0.015320991165935993,0.023549795150756836,0.0,0.9978761076927185,0.9985042214393616
awgn,circular_refined,0.0,1.35,0.009702861309051514,0.015044433064758778,0.023971056565642357,0.0,0.9978761076927185,0.9985042214393616
awgn,circular_sign_wls,0.0,1.35,0.009702742099761963,0.01504442747682333,0.02397085353732109,0.0,0.9978761076927185,0.9985042214393616
awgn,kasai,6.0,0.35,0.015953630208969116,0.024635199457406998,0.040911056101322174,0.0,0.998044490814209,0.998455286026001
awgn,wls_origin,6.0,0.35,0.0030944347381591797,0.004721192643046379,0.00782080926001072,0.0,0.998044490814209,0.998455286026001
awgn,wls_free,6.0,0.35,0.005487456917762756,0.008366405963897705,0.013676824979484081,0.0,0.998044490814209,0.998455286026001
awgn,huber_wls,6.0,0.35,0.0030944347381591797,0.004721192643046379,0.00782080926001072,0.0,0.998044490814209,0.998455286026001
awgn,leave_one_out,6.0,0.35,0.00357992947101593,0.005242961924523115,0.0087244538590312,0.0,0.998044490814209,0.998455286026001
awgn,circular_grid,6.0,0.35,0.0009341537952423096,0.005241827107965946,0.009660780429840088,0.0,0.998044490814209,0.998455286026001
awgn,circular_refined,6.0,0.35,0.0030944347381591797,0.004721194040030241,0.007820851169526577,0.0,0.998044490814209,0.998455286026001
awgn,circular_sign_wls,6.0,0.35,0.0030944347381591797,0.004721192643046379,0.00782080926001072,0.0,0.998044490814209,0.998455286026001
awgn,kasai,6.0,0.8,0.015658438205718994,0.02417684532701969,0.03987979143857956,0.0,0.9996315240859985,0.9997214078903198
awgn,wls_origin,6.0,0.8,0.003309905529022217,0.004998158663511276,0.007980299182236195,0.0,0.9996315240859985,0.9997214078903198
awgn,wls_free,6.0,0.8,0.005226433277130127,0.008371854200959206,0.014040404930710793,0.0,0.9996315240859985,0.9997214078903198
awgn,huber_wls,6.0,0.8,0.003309905529022217,0.004998158663511276,0.007980299182236195,0.0,0.9996315240859985,0.9997214078903198
awgn,leave_one_out,6.0,0.8,0.0036030709743499756,0.005450492259114981,0.00892524141818285,0.0,0.9996315240859985,0.9997214078903198
awgn,circular_grid,6.0,0.8,0.0028514263685792685,0.005668771918863058,0.005875229835510254,0.0,0.9996315240859985,0.9997214078903198
awgn,circular_refined,6.0,0.8,0.00330999493598938,0.0049981665797531605,0.007980281487107277,0.0,0.9996315240859985,0.9997214078903198
awgn,circular_sign_wls,6.0,0.8,0.003309905529022217,0.004998158663511276,0.007980299182236195,0.0,0.9996315240859985,0.9997214078903198
awgn,kasai,6.0,1.35,0.015308856964111328,0.023561593145132065,0.03945900499820709,0.0,0.9998753666877747,0.9999046325683594
awgn,wls_origin,6.0,1.35,0.003248155117034912,0.004800375085324049,0.007915258407592773,0.0,0.9998753666877747,0.9999046325683594
awgn,wls_free,6.0,1.35,0.005304276943206787,0.008063278160989285,0.013435924425721169,0.0,0.9998753666877747,0.9999046325683594
awgn,huber_wls,6.0,1.35,0.003248155117034912,0.004800375085324049,0.007915258407592773,0.0,0.9998753666877747,0.9999046325683594
awgn,leave_one_out,6.0,1.35,0.003443777561187744,0.0051781050860881805,0.00826885737478733,0.0,0.9998753666877747,0.9999046325683594
awgn,circular_grid,6.0,1.35,0.0026301145553588867,0.005457144696265459,0.006096482276916504,0.0,0.9998753666877747,0.9999046325683594
awgn,circular_refined,6.0,1.35,0.003248274326324463,0.004800376947969198,0.007915186695754528,0.0,0.9998753666877747,0.9999046325683594
awgn,circular_sign_wls,6.0,1.35,0.003248155117034912,0.004800375085324049,0.007915258407592773,0.0,0.9998753666877747,0.9999046325683594
awgn,kasai,12.0,0.35,0.004540085792541504,0.006791976746171713,0.011266076937317848,0.0,0.9998575448989868,0.9998875856399536
awgn,wls_origin,12.0,0.35,0.001385703682899475,0.0021358036901801825,0.0034886659123003483,0.0,0.9998575448989868,0.9998875856399536
awgn,wls_free,12.0,0.35,0.001972511410713196,0.002880972810089588,0.004740101285278797,0.0,0.9998575448989868,0.9998875856399536
awgn,huber_wls,12.0,0.35,0.001385703682899475,0.0021358036901801825,0.0034886659123003483,0.0,0.9998575448989868,0.9998875856399536
awgn,leave_one_out,12.0,0.35,0.0014147162437438965,0.002208770951256156,0.0036652833223342896,0.0,0.9998575448989868,0.9998875856399536
awgn,circular_grid,12.0,0.35,0.0009341537952423096,0.0022983509115874767,0.0009341537952423096,0.0,0.9998575448989868,0.9998875856399536
awgn,circular_refined,12.0,0.35,0.0013856887817382812,0.0021358036901801825,0.0034886181820183992,0.0,0.9998575448989868,0.9998875856399536
awgn,circular_sign_wls,12.0,0.35,0.001385703682899475,0.0021358036901801825,0.0034886659123003483,0.0,0.9998575448989868,0.9998875856399536
awgn,kasai,12.0,0.8,0.004428684711456299,0.006750968750566244,0.011287582106888294,0.0,0.9999729990959167,0.9999785423278809
awgn,wls_origin,12.0,0.8,0.0014683305053040385,0.0021502168383449316,0.0034845531918108463,0.0,0.9999729990959167,0.9999785423278809
awgn,wls_free,12.0,0.8,0.001903653028421104,0.0027751170564442873,0.004614037461578846,0.0,0.9999729990959167,0.9999785423278809
awgn,huber_wls,12.0,0.8,0.0014683305053040385,0.0021502168383449316,0.0034845531918108463,0.0,0.9999729990959167,0.9999785423278809
awgn,leave_one_out,12.0,0.8,0.0015210211277008057,0.002216179622337222,0.003609269857406616,0.0,0.9999729990959167,0.9999785423278809
awgn,circular_grid,12.0,0.8,0.0028514263685792685,0.0038443587254732847,0.005875229835510254,0.0,0.9999729990959167,0.9999785423278809
awgn,circular_refined,12.0,0.8,0.0014683305053040385,0.002150226617231965,0.0034845531918108463,0.0,0.9999729990959167,0.9999785423278809
awgn,circular_sign_wls,12.0,0.8,0.0014683305053040385,0.0021502168383449316,0.0034845531918108463,0.0,0.9999729990959167,0.9999785423278809
awgn,kasai,12.0,1.35,0.0049166083335876465,0.007035754155367613,0.01143571175634861,0.0,0.9999901056289673,0.999991774559021
awgn,wls_origin,12.0,1.35,0.0014746187953278422,0.002101100282743573,0.0034206509590148926,0.0,0.9999901056289673,0.999991774559021
awgn,wls_free,12.0,1.35,0.0019299983978271484,0.0028895309660583735,0.004778063390403986,0.0,0.9999901056289673,0.999991774559021
awgn,huber_wls,12.0,1.35,0.0014746187953278422,0.002101100282743573,0.0034206509590148926,0.0,0.9999901056289673,0.999991774559021
awgn,leave_one_out,12.0,1.35,0.0014860033988952637,0.00219902116805315,0.003654956817626953,0.0,0.9999901056289673,0.999991774559021
awgn,circular_grid,12.0,1.35,0.0026301145553588867,0.003581288270652294,0.006096482276916504,0.0,0.9999901056289673,0.999991774559021
awgn,circular_refined,12.0,1.35,0.0014746187953278422,0.0021010988857597113,0.003420567372813821,0.0,0.9999901056289673,0.999991774559021
awgn,circular_sign_wls,12.0,1.35,0.0014746187953278422,0.002101100282743573,0.0034206509590148926,0.0,0.9999901056289673,0.999991774559021
decorrelation,kasai,-12.0,0.35,0.9336050152778625,1.417044997215271,2.485332489013672,0.4208984375,0.33486509323120117,0.2974737584590912
decorrelation,wls_origin,-12.0,0.35,0.23016990721225739,0.7378761768341064,1.405301570892334,0.2939453125,0.33486509323120117,0.2974737584590912
decorrelation,wls_free,-12.0,0.35,0.3923161029815674,0.8373846411705017,1.494081974029541,0.3779296875,0.33486509323120117,0.2974737584590912
